In-Game Name;Game ID;March Limit;Discord Username;Infantry FC;Infantry Helios;Lancers FC;Lancers Helios;Marksman FC;Marksman Helios;Jessie;Patrick;Jasser;Seoyoon
GRAPE;10004;190000;grape_24;8;No;8;Yes;8;No;1;3;2;2
Djam Cyborg;10005;150000;djam_cyborg_23;8;Yes;7;No;8;No;5;1;5;4
Brukam;10006;140000;brukam_13;8;Yes;8;No;8;No;1;2;2;5
BlackJack;10007;185000;blackjack_13;7;Yes;7;No;7;No;5;2;5;4
GuNhEiL;10008;155000;gunheil_67;6;Yes;4;No;6;No;5;3;1;2
Minionswaterr;10009;195000;minionswaterr_64;8;No;7;No;7;No;3;3;2;2
BreatheOzzy;10010;200000;breatheozzy_53;8;Yes;8;No;8;No;1;1;4;1
KIRO;10011;165000;kiro_54;8;Yes;7;No;7;No;5;3;1;4
Geno;10012;180000;geno_25;7;No;7;Yes;7;No;4;1;5;3
Little Kitten;10013;190000;little_kitten_89;7;Yes;7;No;7;No;3;5;2;1
KaZZeM;10014;140000;kazzem_94;8;Yes;7;No;8;No;2;3;1;2
AlirezaS;10015;145000;alirezas_58;6;No;6;No;6;No;3;4;3;2
Trebor2605;10016;165000;trebor2605_55;7;No;6;No;7;No;2;3;1;5
BuddyBlues;10017;190000;buddyblues_31;8;No;7;No;7;No;5;2;2;4
BraveHeartNiCole;10018;170000;braveheartnicole_44;6;Yes;7;No;6;No;5;2;3;1
Omair;10019;155000;omair_14;6;No;6;No;6;No;3;4;3;1
Alias;10020;155000;alias_82;7;No;7;No;7;No;3;2;4;4
Lenka;10021;190000;lenka_68;7;No;6;No;7;No;2;3;2;2
OMAR;10022;195000;omar_81;6;Yes;5;No;6;No;5;3;5;4
MiziBerry;10023;185000;miziberry_61;6;No;6;No;6;No;3;2;2;5
MapoCarTc;10024;175000;mapocartc_21;8;Yes;8;No;8;No;1;1;2;2
MeTeHaN;10025;200000;metehan_97;8;Yes;8;No;8;No;4;5;1;4
Darth Bane;10026;170000;darth_bane_86;8;Yes;8;No;8;No;4;5;3;5
chief_mickael;10027;140000;chief_mickael_97;6;No;6;No;6;No;1;5;3;3
moff2;10028;145000;moff2_47;5;No;7;No;6;No;4;2;4;1
Lady Void;10029;195000;lady_void_43;6;No;6;No;6;No;5;2;5;1
Mr Boo;10030;190000;mr_boo_48;5;No;5;No;6;No;5;5;2;2
zsoysal 56;10031;165000;zsoysal_56_30;5;No;4;No;5;No;5;5;1;5
Smalecov;10032;165000;smalecov_72;5;No;5;No;6;No;1;1;3;3
Troyano;10033;155000;troyano_17;6;No;6;No;6;No;2;5;1;1
Biene;10034;195000;biene_72;7;No;6;No;7;No;1;5;2;2
adskhan;10035;190000;adskhan_70;5;No;5;No;6;No;5;2;3;5
txuya;10036;185000;txuya_64;5;No;4;No;5;No;2;5;2;3
the last kindong;10037;170000;the_last_kindong_95;5;No;4;No;4;No;3;4;5;4
NK24LSwL'31;10038;145000;nk24lswl31_41;5;No;4;No;4;No;2;1;3;1
GingerForce;10039;185000;gingerforce_80;6;No;6;No;6;No;2;5;2;1
Vegeta;10040;145000;vegeta_90;5;No;5;No;6;No;1;2;1;1
cheers;10041;165000;cheers_19;5;No;5;No;6;No;5;2;3;4
Majedaziz;10042;155000;majedaziz_79;6;No;6;No;6;No;2;5;5;4
SailorJupiter;10043;155000;sailorjupiter_70;6;No;5;No;6;No;4;2;1;1
The lost dragon;10044;190000;the_lost_dragon_65;5;No;5;No;5;No;3;4;4;4
Smo3lih06;10045;195000;smo3lih06_16;6;No;6;No;6;No;1;1;4;3
Lunaa;10046;200000;lunaa_23;6;No;5;No;6;No;2;2;2;5
Omurstar;10047;175000;omurstar_27;6;No;6;No;6;No;4;2;3;4
JuloJulo;10048;155000;julojulo_19;5;No;5;No;6;No;4;5;1;1
inferno gaemi;10049;190000;inferno_gaemi_79;6;No;6;No;6;No;1;1;2;2
Jointowo;10050;170000;jointowo_72;5;No;5;No;5;No;4;2;4;1
Water;10051;150000;water_58;8;Yes;8;Yes;8;Yes;1;4;3;4
McBudi;10052;160000;mcbudi_64;8;Yes;8;Yes;8;Yes;5;4;2;2
